BuildingType,RC,WallArea,surfaceArea,OverallHeight,Orientation,GalzingArea,GlazingAreaDistribution,HeatingEnergykwh,CoolingEnergy
8,0.871514547,912.8,1599.2,1,7,124.2,0.136064855,4019.176656,2263.680946
8,0.801044342,1861.2,4297.4,1,7,140.4,0.075435203,5234.835456,6207.538338
8,0.832924253,1680.0,3954.0,1,0,216.0,0.128571429,16537.12128,5659.788507
4,0.847234846,565.5,565.5,4,6,169.8,0.300265252,2829.308111,2751.351207
7,0.996000752,1312.6,2151.6,2,7,196.9,0.150007618,857.2328803,5391.921549
8,0.99988623,2142.0,2989.4,2,4,298.0,0.139122316,2152.020868,9595.146838
0,0.962018974,563.3,1701.3,3,6,168.9,0.299840227,4494.831003,2788.571232
8,0.906940775,1113.6,2098.6,1,0,89.2,0.080100575,4908.061212,1063.847985
8,0.832924253,1680.0,3954.0,1,2,72.0,0.042857143,472.7236362,4494.537932
8,0.906940775,1421.4,2728.3,1,4,105.2,0.074011538,4645.762604,0.0
2,0.92112127,416.7,416.7,3,1,37.5,0.089992801,8873.312792,1434.875959
8,0.995742895,2466.0,3576.2,2,5,175.0,0.070965126,10784.13617,3598.033529
2,0.962018974,563.3,563.3,3,3,168.9,0.299840227,5876.074957,1285.116642
8,0.995742895,2466.0,3576.2,2,4,175.0,0.070965126,5451.121905,3887.294675
8,0.968042554,2946.8,4797.2,2,6,407.6,0.138319533,9329.917519,9606.869681
8,0.979627785,2629.8,4126.8,2,4,366.5,0.13936421,37026.30593,7939.29529
0,0.962018974,402.4,1540.4,3,3,48.2,0.119781312,1190.747758,81.76682858
8,0.988418785,2811.6,4351.7,2,4,316.1,0.112427088,23862.1396,5629.309115
4,0.997557105,662.2,662.2,2,4,99.2,0.149803685,5514.425256,2277.748357
8,0.773567127,2100.0,5094.0,1,3,207.4,0.098761905,18622.02887,5858.197622
8,0.871514547,1170.2,2398.2,1,7,70.2,0.059989745,12067.20131,3528.868756
8,0.832924253,1680.0,3954.0,1,1,144.1,0.08577381,3629.099062,4135.525871
8,0.98205407,2383.2,2949.2,3,7,142.9,0.059961396,10303.20654,5584.762313
8,0.832924253,2027.8,4570.2,1,0,216.0,0.106519381,27404.48963,4074.274017
8,0.995742895,1090.8,2040.0,2,0,196.4,0.180051338,10145.82738,3094.244358
8,0.871514547,1340.8,2713.8,1,6,210.6,0.157070406,5510.322261,0.0
8,0.832924253,1611.8,3510.2,1,1,206.4,0.12805559,2539.753895,2488.759527
8,0.871514547,1429.0,2945.0,1,5,188.2,0.13170049,4619.97235,4417.753312
8,0.832924253,1611.8,3510.2,1,4,165.2,0.102494106,13170.90696,3286.792052
8,0.871514547,1340.8,2713.8,1,7,175.4,0.130817422,8587.275427,5361.735228
8,0.871514547,1340.8,2713.8,1,3,210.6,0.157070406,10895.79624,2385.30544
8,0.832924253,2027.8,4570.2,1,0,180.0,0.088766151,8742.310023,3449.739567
8,0.871514547,912.8,1599.2,1,2,74.4,0.08150745,2612.43552,3945.322746
8,0.928814344,3917.8,7041.0,2,1,423.6,0.108121905,32798.16961,1371.279537
8,0.871514547,1170.2,2398.2,1,0,140.4,0.119979491,9770.696408,2457.987065
